carNum|sex|age|marriage|region|job|capacity|year|type|income
A0001|남|64|미혼|전북|주부|4500|2015|B|5850
A0002|남|17|기혼|경북|공무원|3500|2012|H|3850
A0003|남|68|기혼|경기|전문직|4000|2003|D|4800
A0004|남|34|미혼|전북|회사원|4000|2002|A|4400
A0005|여|26|미혼|서울|주부|3500|2014|F|4200
A0006|여|61|기혼|충남|회사원|3000|2010|F|3300
A0007|여|40|미혼|세종|프리랜서|4000|2002|F|4400
A0008|남|40|미혼|전북|회사원|3000|2002|B|3300
A0009|남|47|미혼|세종|전문직|4000|2009|E|4400
A0010|남|66|미혼|서울|주부|3500|2008|E|4448
A0011|여|31|미혼|울산|개인사업|2500|2014|G|3250
A0012|여|65|기혼|대구|주부|4000|2016|E|4689
A0013|여|42|미혼|전남|프리랜서|3500|2008|C|4200
A0014|여|50|미혼|전북|공무원|3500|2008|A|4200
A0015|여|28|기혼|강원|프리랜서|3500|2013|G|5171
A0016|여|24|미혼|부산|주부|3000|2009|G|3600
A0017|남|70|미혼|경기|학생|3000|2006|E|3300
A0018|여|57|기혼|전북|공무원|3500|2014|E|4550
A0019|남|52|기혼|세종|회사원|3500|2006|G|3850
A0020|여|22|미혼|경남|개인사업|3000|2000|D|4200
A0021|남|58|기혼|광주|공무원|3500|2003|F|4768
A0022|남|45|미혼|부산|공무원|3500|2011|D|3850
A0023|남|46|기혼|세종|공무원|3500|2008|B|3850
A0024|남|40|기혼|세종|공무원|2500|2002|C|3000
A0025|여|15|기혼|강원|전문직|4000|2010|G|4800
A0026|여|17|미혼|충북|주부|3500|2000|H|4524
A0027|여|32|기혼|세종|전문직|4000|2015|F|4800
A0028|남|28|미혼|제주|공무원|4000|2009|C|4608
A0029|여|52|미혼|전북|개인사업|4000|2007|D|5200
A0030|여|30|미혼|서울|주부|3500|2000|C|4200
A0031|남|37|미혼|대구|학생|4000|2007|A|4800
A0032|남|41|미혼|경기|학생|3500|2015|A|4200
A0033|여|34|기혼|울산|전문직|3000|2003|G|3900
A0034|여|59|미혼|울산|학생|3500|2008|G|4951
A0035|남|34|기혼|강원|주부|3500|2005|C|3850
A0036|남|44|기혼|인천|학생|3500|2011|H|3850
A0037|남|19|기혼|인천|프리랜서|4000|2007|C|5784
A0038|남|64|기혼|세종|회사원|3000|2002|E|3900
A0039|여|52|기혼|울산|프리랜서|3500|2007|F|4200
A0040|여|54|기혼|충북|학생|4000|2013|H|4800
A0041|남|31|미혼|경남|전문직|4000|2016|H|5200
A0042|여|17|미혼|울산|회사원|3500|2006|A|4550
A0043|여|53|기혼|대구|회사원|3500|2002|H|4200
A0044|여|30|미혼|경남|주부|3000|2014|F|4369
A0045|남|54|기혼|대전|프리랜서|2500|2016|G|2750
A0046|여|53|기혼|제주|전문직|3500|2008|C|4550
A0047|여|25|기혼|경남|주부|3500|2013|G|4375
A0048|여|57|미혼|부산|개인사업|4500|2014|G|5400
A0049|남|41|기혼|세종|개인사업|3500|2005|G|4200
A0050|남|69|기혼|충북|개인사업|3500|2002|B|4550
A0051|남|44|기혼|제주|프리랜서|3500|2013|A|3850
A0052|여|36|미혼|대전|전문직|3500|2010|C|3850
A0053|남|70|미혼|충북|전문직|3500|2016|F|5079
A0054|남|35|미혼|충북|전문직|3500|2008|B|4550
A0055|남|26|기혼|광주|전문직|3500|2010|E|4200
A0056|여|40|미혼|제주|학생|3500|2016|F|4396
A0057|여|50|미혼|경남|학생|4000|2015|B|4400
A0058|여|27|미혼|경기|전문직|3500|2015|E|4480
A0059|여|50|미혼|인천|주부|3000|2000|E|4041
A0060|여|33|미혼|강원|공무원|3500|2003|F|4200
A0061|남|36|미혼|충남|회사원|4000|2010|A|4800
A0062|남|47|기혼|경북|학생|3000|2014|C|3900
A0063|여|29|기혼|부산|개인사업|4000|2007|G|4400
A0064|남|16|기혼|세종|개인사업|4000|2012|B|4800
A0065|여|49|미혼|경기|회사원|3500|2003|A|4550
A0066|여|36|미혼|제주|개인사업|3500|2009|D|4550
A0067|여|41|기혼|경남|회사원|3500|2007|F|4200
A0068|남|39|미혼|대구|프리랜서|4500|2010|E|5400
A0069|여|20|미혼|인천|프리랜서|3500|2005|F|3850
A0070|남|70|미혼|서울|주부|4000|2006|B|4400
A0071|여|66|미혼|경남|공무원|3000|2003|G|3300
A0072|여|27|기혼|전남|개인사업|4000|2012|B|4842
A0073|여|37|기혼|충북|전문직|4000|2006|D|4400
A0074|여|21|미혼|강원|개인사업|3500|2004|F|4653
A0075|여|31|미혼|전북|회사원|3000|2001|H|3300
A0076|남|42|미혼|전북|전문직|4500|2012|F|5400
A0077|여|42|기혼|경남|프리랜서|4000|2013|H|4400
A0078|남|18|미혼|경기|회사원|4500|2002|A|5400
A0079|남|56|기혼|경북|프리랜서|4000|2008|A|5200
A0080|남|44|기혼|강원|학생|3500|2003|E|4550
A0081|여|19|기혼|경기|학생|4000|2014|G|4400
A0082|여|32|기혼|울산|개인사업|3500|2014|H|4200
A0083|여|29|기혼|서울|회사원|3000|2009|B|3600
A0084|남|40|기혼|대구|개인사업|3500|2006|A|3850
A0085|여|46|미혼|세종|개인사업|4000|2015|A|4400
A0086|여|16|미혼|경북|전문직|3000|2009|C|3900
A0087|여|50|기혼|세종|공무원|3500|2001|E|4200
A0088|여|26|미혼|세종|프리랜서|3500|2012|B|4200
A0089|여|65|기혼|제주|회사원|3500|2007|F|5091
A0090|여|18|기혼|울산|공무원|3000|2002|A|3300
A0091|여|18|기혼|경기|회사원|4500|2016|E|5797
A0092|남|16|기혼|제주|전문직|3500|2008|D|4200
A0093|여|55|기혼|강원|개인사업|4000|2006|C|4800
A0094|남|69|기혼|대구|학생|4000|2004|D|4400
A0095|남|22|미혼|전남|공무원|3500|2014|C|4200
A0096|남|35|기혼|경기|개인사업|4000|2001|A|5250
A0097|남|32|미혼|전북|학생|4000|2005|G|5739
A0098|여|29|기혼|경남|개인사업|3500|2008|F|4550
A0099|남|23|기혼|전북|개인사업|3000|2006|H|3600
A0100|여|60|미혼|충남|프리랜서|3500|2008|F|3850
B0001|남|20|기혼|경기|학생|3000|2003|B|3600
B0002|남|48|기혼|전남|학생|3500|2002|B|4585
B0003|남|20|미혼|서울|주부|3500|2011|C|3850
B0004|남|38|미혼|부산|학생|4000|2002|D|5040
B0005|여|16|미혼|충북|개인사업|4000|2003|F|4400
B0006|남|70|미혼|울산|학생|3000|2007|E|3600
B0007|여|25|미혼|세종|학생|4000|2007|D|4800
B0008|여|28|미혼|서울|프리랜서|3500|2016|F|4188
B0009|남|48|미혼|대전|학생|3500|2011|E|5026
B0010|남|59|미혼|서울|개인사업|4500|2009|H|5850
B0011|남|53|기혼|대전|공무원|4000|2003|B|5594
B0012|여|60|미혼|서울|프리랜서|3500|2000|A|3850
B0013|남|41|기혼|광주|학생|3000|2010|H|3687
B0014|여|55|미혼|부산|회사원|4500|2002|A|5850
B0015|남|39|미혼|서울|개인사업|5000|2012|A|6951
B0016|여|55|기혼|대전|개인사업|3500|2014|F|3850
B0017|여|30|미혼|전남|공무원|2500|2016|G|2750
B0018|여|40|기혼|서울|학생|4500|2002|D|5400
B0019|남|60|기혼|제주|주부|4500|2011|C|5400
B0020|남|52|기혼|전북|전문직|3000|2003|H|3600
B0021|여|50|미혼|강원|개인사업|3000|2015|B|3600
B0022|여|57|미혼|경북|프리랜서|3500|2001|E|3850
B0023|여|65|기혼|부산|공무원|3500|2013|A|4550
B0024|여|32|미혼|세종|주부|3500|2014|D|4767
B0025|남|67|미혼|경기|학생|4500|2008|A|5400
B0026|남|56|기혼|경북|프리랜서|4000|2012|H|4400
B0027|여|70|기혼|대전|회사원|4000|2003|H|5200
B0028|여|30|기혼|전남|주부|3000|2010|H|4014
B0029|남|24|미혼|충남|학생|3500|2002|C|3850
B0030|여|28|미혼|충북|학생|3500|2011|D|5240
B0031|여|24|미혼|울산|학생|4000|2008|F|5200
B0032|여|26|미혼|충북|개인사업|2500|2006|B|3250
B0033|여|64|기혼|인천|공무원|3000|2003|C|3300
B0034|여|51|미혼|대전|학생|3500|2006|C|4550
B0035|남|32|미혼|경기|전문직|2500|2006|C|3000
B0036|여|40|미혼|전남|개인사업|4500|2006|G|6734
B0037|남|69|기혼|서울|공무원|3500|2016|B|3850
B0038|남|29|미혼|울산|공무원|3000|2001|A|3600
B0039|여|30|기혼|울산|개인사업|3000|2005|F|3600
B0040|여|47|미혼|경기|회사원|3000|2011|H|3900
B0041|여|21|기혼|전북|학생|3000|2004|F|3300
B0042|여|58|기혼|인천|프리랜서|3500|2004|A|4200
B0043|여|67|미혼|대구|학생|3500|2012|D|3850
B0044|남|23|미혼|광주|공무원|2500|2004|A|3000
B0045|여|18|미혼|서울|프리랜서|4000|2011|B|4800
B0046|여|55|미혼|충남|공무원|2500|2004|B|2750
B0047|여|58|미혼|경북|학생|3500|2002|B|4923
B0048|남|26|미혼|세종|주부|3500|2014|C|3850
B0049|여|42|미혼|전북|공무원|3500|2005|A|4200
B0050|여|40|기혼|서울|프리랜서|3000|2010|F|3900
B0051|남|22|기혼|광주|개인사업|4000|2000|G|4800
B0052|남|67|기혼|전남|학생|3500|2000|B|3850
B0053|남|28|기혼|부산|개인사업|3000|2002|A|3300
B0054|여|70|미혼|충북|학생|3500|2012|C|3850
B0055|남|62|기혼|제주|개인사업|3000|2009|D|3300
B0056|여|58|미혼|강원|주부|3000|2003|C|3600
